,0
4893cfb6d793be3f56a22bd4aed38c51,47.0
74658a5c351f910264ccd972fad23752,47.0
1eb53ef645138ee6c72f4185236110f1,46.0
65a18ce8733e614badd15b106b77af51,45.0
3742f8da83a107a6705d1335a12b8c7b,45.0
da1ee3496eec45d40b63f0b7d23271ca,45.0
e220e5fec2c0343b95c6e35e8dcfdfaf,43.0
4eb222f01e66a545e2eb7c87b8729d88,43.0
0a48026626a7ce876b0978bd63a105ff,43.0
83703d68e0ec9438b8467eea5419e232,43.0
a02634c68c76d2330cf5626638256fa9,42.0
5f5b745b6f8df393036ff6adc1c1719d,42.0
9a4b77f93afaa69409d2a97dcb6f2c50,42.0
68e66535679d96bc8460d4179231e86a,41.0
913ff2e3ed95e40b08ed876f6923c87d,41.0
793b0634f56c16a8381e6d09c8e693d4,41.0
419acf063e0c7cfaf859a20efab52319,40.0
a255fe3eac4441d42d0fb32aaf3c0bbd,40.0
5a92332f989a599cc22de7f05384ac54,39.0
e45693bcbbe2565fa9fe229404cd853f,39.0
e6ccb3c731a12908775b5973609675a1,39.0
58612d2d860487b75d2b7d1513e72e14,39.0
ff2b79e1e95642247516e70ea5cfc616,38.0
fd007e68bed35b0ee951fabcfedb2ed7,38.0
383768c6d62454677e1e53a1b5e65c43,37.0
785a20f93b9a43985e7e31588ac84535,37.0
9efb2df30f260798b0574161b1369d1a,37.0
1be60ceceeae38358eb4fc1792ac862e,36.0
793b55dc2017ce23758b797a5453525f,36.0
63f8c3d3e9b6a1fee1391fd3cf5fdab0,36.0
f18581ebf9b7e40c3ca714e7cface1e0,36.0
e0d7a6671722cc8d5fd59accd6e25fe9,36.0
cef7e3b3b32a1aa2e5955907d7ded49a,35.0
9e18c69bf8594e1c4087ef76eb7b8174,35.0
7954d4b62b43051d0f25ca1df21f7480,35.0
a394e0285c3513777f9a0178c92c1ef4,35.0
811a3a56fb9536ec4b4916462de294e1,35.0
aa68cee92a3289765fb9a98fa169ff76,35.0
4850a2592322f2aef65ed577a12ae78a,35.0
a670b5651dd943c1dab5db1693b450b5,35.0
1cbea9ba7898c05f30d926f0e65c0f8f,34.0
db2ff23ddf67b1c2333fe48292597cdd,34.0
dfed70bdc4f6ac65da0bd9902d2eb9c1,34.0
57d25d2db69c3589b85118f26c443ece,34.0
77855979158608dc5ec9604ef1ed40d2,34.0
aefc2822ec63c8ce4ac7b8f03028a304,34.0
e20ddda9c4cb2d99f048a24d07cb76ac,33.0
a42705d9e385b1b7aff16bebf965bcdc,33.0
e6d9e5b69c0de712072a319178d64c2d,32.0
18b90dcb400e6b2ee0c17a9c166936c8,32.0
d234175d9aef2177f9265d28a101776e,32.0
998b94b967eacc6f6d88916164259571,32.0
0736ff7d68d026177d2b07471547ca6e,32.0
23a0218fa831e335a27b95edd83ef54d,32.0
8a8b6f6683e02f246201dddcaba1352c,32.0
37c62c981dded76db63176a64e452569,32.0
babf33441faa937989a237c373baadc7,32.0
24023ba7f112422bd3b94d2643f73b20,32.0
da04d92ed138c53c393bad936f9457b4,32.0
cfb687c442c6b9c3b3efb9f798a33c8b,32.0
ced69170354f8591e519a631d7c4b76e,32.0
e54b71fcd7e58257ddce94bf0b5bfa90,31.0
67a94176a31ba2fe53b8c31569f513af,31.0
1add8759b550aec0bfa78c8f93e6b314,30.0
7f8e87b24e34eed8dfbeb6762a4855a2,30.0
275c3c116677ef2487ef858470605e24,30.0
13d11e3c6a28d735090737ef8c8e884a,30.0
87baeee0fec37ad737b46be58bd8e641,30.0
f540b5567cbcd9abd2253d608827dead,30.0
e4163f0321de0e6d5472f6eef06644b0,29.0
6cc5bb429366f411fdc6a8386a710774,29.0
94622b81e154c2eeafce30621377b5b9,29.0
79f2d4dc581aa7d1dc20a151f9a4e872,29.0
3a49ddfaaa781eba09fe442e45e2686e,29.0
d7d2a85a27f1d48750c8c22898ed3a54,28.0
